Controller,Kc,Ti,Td,OvershootValue,PeakTime_s,SettlingTime_s,DecayRatio,SteadyStateError,Score,MeetsAll
PID,2.25,0.75,1.7,0.0353120783075858,5.26,6.6446331581207,5.23261465586629,0,1.02738534413371,0
PID,4,0.75,1.35,0.0241577371985817,4.52,5.20476280498544,4.97081380052675,0,1.02918619947325,0
PID,3.25,1,1.65,0.0239237517933721,6.03,6.89085341338717,6.16913342027077,0,1.03,0
PI,6,0.5,NaN,0.351154456233839,0.45,1.56296539822174,10.519578039917,0,1.03112260225535,0
PI,8.25,0.5,NaN,0.404406364474254,0.38,1.65838709827232,8.73929147193602,0,1.04406364474254,0
PID,4.5,0.75,1.3,0.0220597352050369,4.4,4.88214909882449,4.95532445215894,0,1.04467554784106,0
PID,3.5,1,1.65,0.0233077058108797,5.99,6.77915354132914,5.94162325782926,0,1.04837674217074,0
PID,1.25,0.75,1.95,0.0381316612218636,6.06,7.72838679008727,7.3925926360609,0,1.06,0
PID,2.5,1,1.55,0.0237055863361155,6.06,6.89728903026611,7.85918768833153,0,1.06,0
PID,2.75,1,1.6,0.0242426934954449,6.06,6.95608150366431,7.05685901329771,0,1.06,0
PID,2.75,0.75,1.6,0.0319655367480174,5.03,6.22840918016699,4.96690460395343,0,1.06309539604657,0
PID,11,0.5,0.05,0.19512596527538,0.32,0.961444238866434,4.9330316875679,0,1.0669683124321,0
PID,3,1,1.65,0.0244935548204208,6.07,7.00089320090482,6.44954487445048,0,1.07,0
PID,2.5,0.75,1.65,0.0336593282712503,5.14,6.43348735939948,5.06979255997363,0,1.07020744002637,0
PID,4,1,1.6,0.0214919225906529,5.85,6.37132189201601,5.77750916948961,0,1.07249083051039,0
PID,3.75,0.75,1.4,0.0255934450142625,4.61,5.41814323054989,4.91755157381929,0,1.08244842618071,0
PID,2.25,1,1.5,0.0227617717881645,6.09,6.80804556144432,8.97165471115901,0,1.09,0
PID,3,0.75,1.55,0.0302899891056083,4.92,6.02670363202619,4.90798252130449,0,1.09201747869551,0
PI,8.5,0.5,NaN,0.409313867641804,0.37,1.63608516917146,8.56177299775398,0,1.09313867641804,0
PID,1.75,0.75,1.9,0.0394972785685723,5.68,7.29746424644152,5.57205007010141,0,1.10794992989859,0
PID,1.25,0.75,2,0.0390345906306275,6.11,7.82754681646149,7.18326222869535,0,1.11,0
PID,3.5,0.75,1.45,0.027094786207406,4.71,5.62403791253749,4.88786079484489,0,1.11213920515511,0
PID,3.25,0.75,1.5,0.028661766386058,4.81,5.82601684674656,4.88358592452538,0,1.11641407547462,0
PID,2,0.75,1.8,0.0375452933762108,5.46,6.96637970930961,5.34036835665353,0,1.11963164334647,0
PID,1.25,0.5,1.75,0.053730709120104,4.45,5.97712236128883,4.87905337427803,0,1.12094662572197,0
PID,4.75,0.75,1.3,0.021367918793235,4.39,4.77697857177159,4.87461677523139,0,1.12538322476861,0
PID,3.25,1,1.7,0.0245425533723747,6.1,7.0380947772664,5.9726231897884,0,1.1273768102116,0
PID,4.25,0.75,1.35,0.0233718187807233,4.5,5.11750258100122,4.87020164975492,0,1.12979835024508,0
PID,2.5,1,1.6,0.0245217512109253,6.13,7.06316527388682,7.54664261083866,0,1.13,0
PID,2.75,1,1.65,0.0249766204813937,6.13,7.11022456532499,6.80345159549161,0,1.13,0
PID,1.5,0.5,1.5,0.0492317109978098,4.06,5.40605797401953,4.86321988479057,0,1.13678011520943,0
PI,8.75,0.5,NaN,0.413748409149802,0.37,1.61426352344213,8.38336967625912,0,1.13748409149802,0
PID,10.75,0.5,0.05,0.195378094785197,0.33,0.975208496279064,4.85347440063377,0,1.14652559936623,0
PID,3,1,1.7,0.025153946016895,6.15,7.14719397710041,6.23808654817912,0,1.15,0
PID,2.25,1,1.55,0.0236681836352779,6.16,6.99460674300239,8.57049538904782,0,1.16,0
PI,5.75,0.5,NaN,0.34378451334028,0.46,1.59713874102236,10.7324394790581,0,1.17028461246094,0
PID,4.25,1,1.6,0.0208888875863507,5.82,6.22380894018529,5.63523799288968,0,1.18476200711032,0
PI,9,0.5,NaN,0.418620170291895,0.36,1.59296684298595,8.2226406059061,0,1.18620170291895,0
PID,4,0.75,1.4,0.0247438420286126,4.59,5.33418918526206,4.80632906785863,0,1.19367093214137,0
PID,5,0.75,1.3,0.0207081819523958,4.37,4.65220697879251,4.8034838559032,0,1.1965161440968,0
PID,3.75,1,1.65,0.0226717858473864,5.95,6.66411272231379,5.7533937762619,0,1.1966062237381,0
PID,2.5,1,1.65,0.0253088937406951,6.2,7.21891649434661,7.26381265768053,0,1.2,0
PID,2.75,1,1.7,0.0256835512153237,6.2,7.25663361417598,6.57255687251969,0,1.2,0
PID,4.5,0.75,1.35,0.0226192300550292,4.48,5.02693789341968,4.7829671283036,0,1.2170328716964,0
PID,3,1,1.75,0.0257894572560788,6.22,7.28711346662421,6.04426832763887,0,1.22,0
PI,9.25,0.5,NaN,0.422719445595737,0.35,1.57221879604357,8.0572657179428,0,1.22719445595737,0
PID,3,0.75,1.6,0.0309043035969181,4.99,6.13678147899647,4.77223054595225,0,1.22776945404775,0
PID,1.25,0.5,1.8,0.054529688848528,4.5,6.05369724579752,4.77141169766151,0,1.22858830233849,0
PID,2.25,1,1.6,0.0245438232822,6.23,7.16562220290404,8.21070381632742,0,1.23,0
PID,10.5,0.5,0.05,0.195283026879887,0.33,0.989312361174006,4.76727031285446,0,1.23272968714554,0
PID,2.25,0.75,1.75,0.0360021611436827,5.33,6.74747083295464,5.096747610384,0,1.233252389616,0
PID,3.75,0.75,1.45,0.0261810299179299,4.69,5.54073429097975,4.76325572930826,0,1.23674427069174,0
PID,3.25,0.75,1.55,0.0292628489130509,4.88,5.93944185487567,4.74355619435538,0,1.25644380564462,0
PID,2.75,0.75,1.65,0.032598687393524,5.09,6.33566659848998,4.83344849389907,0,1.25655150610093,0
PID,3.5,0.75,1.5,0.027686952335527,4.78,5.74151924329199,4.74173706949122,0,1.25826293050878,0
